Annee	Mois	Jour	RR
1979	12	1	0
1979	12	2	0
1979	12	3	0
1979	12	4	0
1979	12	5	0
1979	12	6	0
1979	12	7	0
1979	12	8	0
1979	12	9	0
1979	12	10	0
1979	12	11	0
1979	12	12	0
1979	12	13	0
1979	12	14	0
1979	12	15	0
1979	12	16	0
1979	12	17	0
1979	12	18	0
1979	12	19	3,7
1979	12	20	14,5
1979	12	21	0,7
1979	12	22	4,9
1979	12	23	0
1979	12	24	0
1979	12	25	0
1979	12	26	0
1979	12	27	0
1979	12	28	0
1979	12	29	0
1979	12	30	0
1979	12	31	0
1980	1	1	0
1980	1	2	0
1980	1	3	0
1980	1	4	0
1980	1	5	0
1980	1	6	0
1980	1	7	0
1980	1	8	0
1980	1	9	0
1980	1	10	0
1980	1	11	0
1980	1	12	0
1980	1	13	3,3
1980	1	14	0
1980	1	15	0
1980	1	16	2,6
1980	1	17	1,3
1980	1	18	1,5
1980	1	19	0
1980	1	20	0
1980	1	21	0
1980	1	22	0
1980	1	23	0
1980	1	24	0
1980	1	25	0
1980	1	26	0
1980	1	27	0
1980	1	28	0
1980	1	29	0,8
1980	1	30	0
1980	1	31	0
1980	2	1	0
1980	2	2	0
1980	2	3	0
1980	2	4	0
1980	2	5	0
1980	2	6	0
1980	2	7	0
1980	2	8	0
1980	2	9	0
1980	2	10	0
1980	2	11	0
1980	2	12	0
1980	2	13	0
1980	2	14	0
1980	2	15	0
1980	2	16	0
1980	2	17	0
1980	2	18	0
1980	2	19	0
1980	2	20	15,4
1980	2	21	21
1980	2	22	0
1980	2	23	0
1980	2	24	0,2
1980	2	25	2,2
1980	2	26	9,1
1980	2	27	4
1980	2	28	0
1980	2	29	0,3
1980	12	1	0
1980	12	2	0
1980	12	3	0
1980	12	4	0
1980	12	5	0
1980	12	6	0
1980	12	7	0
1980	12	8	0
1980	12	9	0
1980	12	10	0
1980	12	11	0
1980	12	12	0
1980	12	13	0
1980	12	14	0
1980	12	15	3,2
1980	12	16	35,8
1980	12	17	5,2
1980	12	18	0
1980	12	19	3,3
1980	12	20	0
1980	12	21	0
1980	12	22	0
1980	12	23	0
1980	12	24	0
1980	12	25	0
1980	12	26	0
1980	12	27	11
1980	12	28	59,2
1980	12	29	48,3
1980	12	30	15,1
1980	12	31	0
1981	1	1	0
1981	1	2	0
1981	1	3	0
1981	1	4	0
1981	1	5	0
1981	1	6	0
1981	1	7	0
1981	1	8	0
1981	1	9	0
1981	1	10	0
1981	1	11	2,6
1981	1	12	2,6
1981	1	13	37
1981	1	14	0
1981	1	15	0
1981	1	16	0
1981	1	17	0
1981	1	18	0
1981	1	19	0
1981	1	20	0
1981	1	21	0
1981	1	22	0
1981	1	23	0
1981	1	24	0
1981	1	25	0
1981	1	26	0
1981	1	27	0
1981	1	28	0
1981	1	29	0
1981	1	30	0
1981	1	31	0
1981	2	1	0
1981	2	2	0
1981	2	3	0
1981	2	4	0
1981	2	5	0
1981	2	6	0
1981	2	7	0
1981	2	8	0
1981	2	9	0
1981	2	10	0,2
1981	2	11	0
1981	2	12	6,8
1981	2	13	0
1981	2	14	0
1981	2	15	9,4
1981	2	16	5,2
1981	2	17	1
1981	2	18	0
1981	2	19	0
1981	2	20	8,7
1981	2	21	0,1
1981	2	22	0
1981	2	23	0
1981	2	24	0
1981	2	25	0
1981	2	26	0
1981	2	27	0
1981	2	28	0
1981	12	1	0
1981	12	2	0
1981	12	3	0
1981	12	4	0
1981	12	5	0
1981	12	6	0,2
1981	12	7	0
1981	12	8	0
1981	12	9	0
1981	12	10	0
1981	12	11	0
1981	12	12	0
1981	12	13	0
1981	12	14	0
1981	12	15	0
1981	12	16	0
1981	12	17	0
1981	12	18	12,5
1981	12	19	0
1981	12	20	0
1981	12	21	1,7
1981	12	22	0,4
1981	12	23	0
1981	12	24	0
1981	12	25	0
1981	12	26	0
1981	12	27	1,5
1981	12	28	0,5
1981	12	29	0
1981	12	30	0
1981	12	31	0
1982	1	1	0
1982	1	2	0
1982	1	3	0
1982	1	4	0
1982	1	5	0
1982	1	6	0
1982	1	7	0
1982	1	8	0
1982	1	9	0
1982	1	10	0
1982	1	11	0
1982	1	12	0
1982	1	13	2,3
1982	1	14	0
1982	1	15	0
1982	1	16	4
1982	1	17	3,8
1982	1	18	0,4
1982	1	19	0
1982	1	20	0,1
1982	1	21	0
1982	1	22	0
1982	1	23	0
1982	1	24	0
1982	1	25	0
1982	1	26	1,3
1982	1	27	0
1982	1	28	4,8
1982	1	29	0
1982	1	30	0
1982	1	31	0
1982	2	1	0
1982	2	2	0
1982	2	3	0
1982	2	4	0
1982	2	5	0
1982	2	6	0
1982	2	7	0
1982	2	8	0
1982	2	9	0,1
1982	2	10	2,2
1982	2	11	0
1982	2	12	0
1982	2	13	0
1982	2	14	0,4
1982	2	15	3,4
1982	2	16	8,9
1982	2	17	0
1982	2	18	0
1982	2	19	0
1982	2	20	0
1982	2	21	0
1982	2	22	0
1982	2	23	3,8
1982	2	24	4,8
1982	2	25	0,9
1982	2	26	0
1982	2	27	0
1982	2	28	0
1982	12	1	0
1982	12	2	0
1982	12	3	4,7
1982	12	4	0
1982	12	5	0
1982	12	6	0
1982	12	7	0
1982	12	8	0,5
1982	12	9	0,2
1982	12	10	0
1982	12	11	0
1982	12	12	0
1982	12	13	3
1982	12	14	2,6
1982	12	15	0
1982	12	16	0
1982	12	17	0
1982	12	18	0
1982	12	19	0
1982	12	20	0
1982	12	21	0,3
1982	12	22	3,4
1982	12	23	1,7
1982	12	24	1,7
1982	12	25	0
1982	12	26	0
1982	12	27	0
1982	12	28	0
1982	12	29	0
1982	12	30	0
1982	12	31	0
1983	1	1	0
1983	1	2	0
1983	1	3	0
1983	1	4	0
1983	1	5	0
1983	1	6	0
1983	1	7	0
1983	1	8	0
1983	1	9	0
1983	1	10	0
1983	1	11	0
1983	1	12	0
1983	1	13	0
1983	1	14	0
1983	1	15	0
1983	1	16	0
1983	1	17	0
1983	1	18	0
1983	1	19	0
1983	1	20	0
